,job_location,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,post_title,pros,status,Work/Life Balance_rolling_10mean,Culture & Values_rolling_10mean,Diversity & Inclusion_rolling_10mean,Career Opportunities_rolling_10mean,Compensation and Benefits_rolling_10mean,Senior Management_rolling_10mean,country,company
2010-07-15,Principal Consultant in Brussels,3.0,,,,,,,O,-,V,Learning managing teams and people,5,Learning hard skills on techninal things,Current Employee,,,,,,,belgian,pwc
2012-03-14,Principal Consultant in Ghent,4.0,,,,,,,O,V,V,"Hierarchy
Stays an audit-firm
Not very dynamic","Good place to work, nice work-life balance, interestings projects","Interesting projects
Good Work-life balance
Good Atmosphere",Current Employee,,,,,,,belgian,pwc
2012-10-16,Business Development Advisor in Brussels,5.0,4.0,4.0,,5.0,4.0,3.0,-,V,V,"Internal Politics, Team may get too specialized /focus and fail to see the big picture.",Great foundation after university,University post university. Great work environment. Possibilities to learn an grow. A lot of additional perks. Wonderful opportunities to travel and connect with brilliant colleagues. Normally pole positions in the Best Employer to work surveys.,"Former Employee, more than 3 years",4.0,4.0,,5.0,4.0,3.0,belgian,pwc
2013-06-18,Advisory Associate in Ghent,4.0,3.0,4.0,,4.0,3.0,4.0,-,-,V,"Balancing work-life balance 
Country structure might hamper international collaborations 
Communication flows could be more straightforward",Learning experience and inspiring environment,"Key expertise in specific domains 
International assignments 
Work hard, play hard
Inspiring people 
Coaching on the job","Current Employee, more than 3 years",3.5,4.0,,4.5,3.5,3.5,belgian,pwc
2013-07-18,Senior Manager in Antwerp,3.0,4.0,3.0,,3.0,2.0,2.0,X,-,V,"Lack of vision and medium to long term perspective resulting in little sense of belonging, top down empowerment and commitment",A union of fragmented talent,Excellent habitat for opportunity seekers with high degree of self orientation and drive next to subject latter expertise.,"Current Employee, more than 10 years",3.6666666666666665,3.6666666666666665,,4.0,3.0,3.0,belgian,pwc
2014-01-01,Advisory Associate in Antwerp,4.0,,4.0,,,,,O,-,O,"Long hours, a competitive environment",Great workplace and learnfull,"Salary, good courses, great car","Current Employee, more than 3 years",3.6666666666666665,3.75,,4.0,3.0,3.0,belgian,pwc
2014-07-10,Anonymous Employee in Brussels,2.0,2.0,1.0,,3.0,3.0,2.0,V,-,X,"office politics
no pay / vacations for over time
heavy hierarchy",trust nobody,"You learn a lot - more if you befriend the right people (though this is more of a cons)
pay is okay
facilities are nice",Current Employee,3.25,3.2,,3.75,3.0,2.75,belgian,pwc
2014-09-20,Junior Auditor in Brussels,3.0,1.0,3.0,,4.0,3.0,3.0,-,-,X,"Long hours during busy season
Salary not competitive",Little work-life balance,Constant learning thanks to formation,"Current Employee, more than 1 year",2.8,3.1666666666666665,,3.8,3.0,2.8,belgian,pwc
2015-06-20,Consultant in Brussels,4.0,2.0,4.0,,4.0,1.0,3.0,V,-,V,Salary is really low compared to other PwC offices in Europe. Compensation does not reward what you bring to the firm.,Great learning environment,They put a lot of emphasis on you learning skills. Mostly young people recently graduated from local top schools. Fun teambuilding events.,Current Employee,2.6666666666666665,3.2857142857142856,,3.8333333333333335,2.6666666666666665,2.8333333333333335,belgian,pwc
2015-07-01,Senior Associate in Brussels,4.0,1.0,3.0,,4.0,3.0,3.0,V,-,V,Worklife balance is not compatible with progress in career,Great opportunities,Great opportunities and project exposure,"Current Employee, more than 3 years",2.4285714285714284,3.25,,3.857142857142857,2.7142857142857144,2.857142857142857,belgian,pwc
2015-07-23,Financial Analyst in Brussels,4.0,5.0,5.0,,3.0,3.0,3.0,V,-,V,"Smaller division, so less outsourcing or specialization. Salaries are quite low as well.",Deals Intern,"A lot of responsibility, friendly co-workers, great work atmosphere. Good work space. Good interaction between divisions, sufficient amount of feedback.","Former Intern, less than 1 year",2.75,3.4444444444444446,,3.75,2.75,2.875,belgian,pwc
2015-08-11,Anonymous Employee in Zaventem,4.0,3.0,4.0,,4.0,3.0,4.0,V,O,V,"+ compensation package
+ work/life balance",Very good for big4,"+ good culture and environment
+ non-repetitive work
+ diversity","Current Employee, more than 8 years",2.7777777777777777,3.5,,3.7777777777777777,2.7777777777777777,3.0,belgian,pwc
2015-08-13,Summer Intern in Antwerp,3.0,4.0,3.0,,3.0,2.0,3.0,O,O,O,"Not all employees or managers are clever
Very narrowing departments, you will be put in a very small box
Open office",Summer intern,"They have a very broad network
They have a lot of big clients
The partners are generally very kind and supportive","Former Employee, less than 1 year",2.7777777777777777,3.4,,3.5555555555555554,2.5555555555555554,3.0,belgian,pwc
2016-01-14,Senior Associate in Brussels,3.0,1.0,3.0,,5.0,3.0,2.0,V,-,V,Bad work life balance,General thoughts,Good place to grow and create job oppertunities,"Current Employee, more than 3 years",2.5555555555555554,3.3,,3.6666666666666665,2.5555555555555554,2.7777777777777777,belgian,pwc
2016-01-31,Anonymous Employee in Brussels,4.0,4.0,5.0,,4.0,3.0,4.0,V,O,V,"Progression based on age, working years experience - not merit and suitability for higher function.",Senior Manager,"Interesting projects, enthusiastic and intelligent coworkers. All around great place to experience a myriad of companies, functions, etc. when working at clients.","Former Employee, more than 8 years",2.5555555555555554,3.5,,3.7777777777777777,2.6666666666666665,3.0,belgian,pwc
2016-02-05,Anonymous Employee in Brussels,3.0,5.0,1.0,,4.0,4.0,2.0,V,O,V,"treated more like a resource than a employee. Due to it's size, too static organisation",Good first job,Wage is correct - lot of advantage - various project,"Current Employee, more than 1 year",2.8,3.2,,3.8,2.8,2.9,belgian,pwc
