,company,link
0,pwc,https://fr.glassdoor.be/Avis/PwC-Avis-E8450.htm
1,belfius,https://fr.glassdoor.be/Avis/Belfius-Bank-Avis-E600419.htm
2,ey,https://fr.glassdoor.be/Avis/EY-Avis-E2784.htm
3,bnp paribas,https://fr.glassdoor.be/Avis/BNP-Paribas-Avis-E10342.htm
4,uliege,https://fr.glassdoor.be/Avis/Universidade-de-Liège-Avis-E2817079.htm
5,nrb,https://fr.glassdoor.be/Avis/NRB-Avis-E214634.htm
6,kpmg,https://fr.glassdoor.be/Avis/KPMG-Avis-E2867.htm
7,total energies,https://fr.glassdoor.be/Avis/TotalEnergies-Avis-E1038.htm
8,kbc,https://fr.glassdoor.be/Avis/KBC-Avis-E10308.htm
9,bdo,https://fr.glassdoor.be/Avis/BDO-Avis-E7508.htm
10,deloitte,https://fr.glassdoor.be/Avis/Deloitte-Avis-E2763.htm
