,name,supersector,country,link
0,3I GROUP PLC.,"
                                          Financial Services
                                    ","
                                          GB
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=088869
1,A.P.MOLLER-MAERSK B,"
                                          Industrial Goods and Services
                                    ","
                                          DK
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=425304
2,A2A,"
                                          Utilities
                                    ","
                                          IT
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=549913
3,AAK,"
                                          Food, Beverage and Tobacco 
                                    ","
                                          SE
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=SE10BI
4,AALBERTS,"
                                          Industrial Goods and Services
                                    ","
                                          NL
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=513962
5,ABB,"
                                          Industrial Goods and Services
                                    ","
                                          CH
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=408580
6,ABN AMRO BANK,"
                                          Banks
                                    ","
                                          NL
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=NL602G
7,ABRDN,"
                                          Financial Services
                                    ","
                                          GB
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=B16KPT
8,ACCIONA S.A.,"
                                          Construction and Materials
                                    ","
                                          ES
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=423932
9,ACCOR,"
                                          Travel and Leisure
                                    ","
                                          FR
                                    ",https://www.stoxx.com/web/stoxxcom/component-details?key=411232
10,ACKERMANS & VAN HAAREN,Financial Services,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=755087
11,ACS,Construction and Materials,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=533338
12,ADDLIFE,Health Care,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE602E
13,ADDTECH B,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=SE10CJ
14,ADECCO,Industrial Goods and Services,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=400702
15,ADEVINTA,Consumer Products and Services,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=NO90BV
16,ADIDAS,Consumer Products and Services,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=403197
17,ADMIRAL GRP,Insurance,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=926294
18,ADP,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=B164FY
19,ADYEN,Industrial Goods and Services,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL802I
20,AEDIFICA,Real Estate,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=BE107X
21,AEGON,Insurance,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=400609
22,AENA SME,Industrial Goods and Services,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=ES504F
23,AGEAS,Insurance,BE,https://www.stoxx.com/web/stoxxcom/component-details?key=400169
24,AHOLD DELHAIZE,"Personal Care, Drug and Grocery Stores ",NL,https://www.stoxx.com/web/stoxxcom/component-details?key=401093
25,AIR LIQUIDE,Chemicals,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=401140
26,AIRBUS,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=401225
27,AKER BP,Energy,NO,https://www.stoxx.com/web/stoxxcom/component-details?key=NO10Q2
28,AKZO NOBEL,Chemicals,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=401190
29,ALCON,Health Care,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH90EG
30,ALFA LAVAL,Industrial Goods and Services,SE,https://www.stoxx.com/web/stoxxcom/component-details?key=733268
31,ALK-ABELLO B,Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK1053
32,ALLEGRO.EU,Consumer Products and Services,PL,https://www.stoxx.com/web/stoxxcom/component-details?key=PL00OY
33,ALLFUNDS GROUP,Financial Services,NL,https://www.stoxx.com/web/stoxxcom/component-details?key=NL106F
34,ALLIANZ,Insurance,DE,https://www.stoxx.com/web/stoxxcom/component-details?key=401632
35,ALLREAL HLDG,Real Estate,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=591427
36,ALSTOM,Industrial Goods and Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=547497
37,ALTEN,Technology,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR1018
38,AMADEUS IT GROUP,Technology,ES,https://www.stoxx.com/web/stoxxcom/component-details?key=ES0017
39,AMBU 'B',Health Care,DK,https://www.stoxx.com/web/stoxxcom/component-details?key=DK6069
40,AMPLIFON,Health Care,IT,https://www.stoxx.com/web/stoxxcom/component-details?key=IT101D
41,AMS-OSRAM AG,Technology,CH,https://www.stoxx.com/web/stoxxcom/component-details?key=CH5020
42,AMUNDI,Financial Services,FR,https://www.stoxx.com/web/stoxxcom/component-details?key=FR509K
43,ANDRITZ,Industrial Goods and Services,AT,https://www.stoxx.com/web/stoxxcom/component-details?key=714131
44,ANGLO AMERICAN,Basic Resources,GB,https://www.stoxx.com/web/stoxxcom/component-details?key=490151
