,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,4.0,*****,***,*****,****,****,****,O,O,O,"as a big bank , with multiple layers ,the communication and processes tend to become a hurdle and tend to slow down the progress of operations","Jul 29, 2021 - Application Administrator in Brussels",Good company,"good atmosphere 
competitive package
learning curve
colleagues
evolution prospects
a big player in the financial market
excellent experience and training package","Former Employee, more than 5 years"
1,3.0,*,*,*,*****,***,**,V,-,V,"Limited client exposure, long hours, limited appreciation","Jul 2, 2021 - Corporate Finance Officer in Brussels",Experience,Good experience as a starting point in Investment Banking career,"Former Employee, more than 1 year"
2,4.0,****,*****,****,****,***,****,V,O,V,salary is not very high,"Apr 24, 2021 - Analyste risque cr&eacute; dit in Brussels",good culture,- Good enterprise culture overall,Former Employee
3,4.0,,,,,,,O,O,O,"old fashioned, bureaucracy, not a lot of career opportunities","Apr 15, 2021 - Anonymous Employee in Brussels",1,"a lot of extras, good vacation plan",Former Employee
4,5.0,,,,,,,O,O,O,Nothing to say as cons,"Mar 5, 2021 - Software Tester in Brussels",Good,Good company to work with,Current Employee
5,3.0,***,***,***,***,***,***,O,O,O,Limited willingness to hire permanently and limited exposure to people who are temporarily in the department.,"Jan 3, 2021 - Corporate Banking Trainee in Brussels",A dinosaur changing course,The bank is trying to adapt to its environment.,"Former Employee, more than 1 year"
6,4.0,***,***,***,***,***,***,O,O,O,corporate mindset but open to innovation,"Dec 1, 2020 - Project Manager in Brussels",Super boite,top friendly open minded bank,"Current Employee, more than 8 years"
7,4.0,*****,****,*****,*,***,*****,-,-,V,No prospect of a full-time contract after the end of the internship period,"Nov 18, 2020 - Anonymous Intern in Brussels",Intern Associate at European Public Affairs Office,Best working environment and supervisor,"Former Intern, less than 1 year"
8,1.0,,,,,,,O,O,O,its boring job with boring people,"Nov 16, 2020 - Commercial Advisor in Hasselt, Limbourg",boring,"nothing to do on the workfloor, so can play on phone","Former Employee, less than 1 year"
9,5.0,,,,,,,O,O,O,nothing to be reported here,"Jun 16, 2020 - Bnp Paribas in Brussels",very good,the salary is quite good,Current Employee
10,5.0,*****,*****,,****,****,****,-,-,V,"- hard to grow to managerial level
- strong hieararchy","Feb 13, 2020 - Anonymous Employee in Brussels","Good life/work balance, a lot of challenge in the work","- nice corporate culture
- a lot of staff trainings","Former Employee, less than 1 year"
11,4.0,*****,*****,,****,,*****,V,-,V,They didn't have enough work to make me do,"Dec 9, 2019 - Equity Analyst Intern in Brussels",Great internship but lack of work,Took into account my willingness to learn and we're open to explaining and showing me what to do,"Former Intern, less than 1 year"
12,4.0,***,****,,***,***,**,-,-,V,Unable to see the potential,"Jun 10, 2019 - Bnp Paribas in Brussels",Good,Attention to employee wellbeing,"Current Employee, less than 1 year"
13,2.0,***,**,,**,**,*,X,O,X,Boss not very goood at all,"Mar 12, 2019 - Designer in Etterbeek",Not great,Not much to dot here r,"Former Employee, less than 1 year"
14,4.0,*****,****,,****,****,****,-,V,V,"Certifications necessary, evolution a little bit slow","Jun 6, 2018 - Sales Advisor in Brussels",Sales advisor,"Great work life balance, trainings , salary package","Former Employee, more than 1 year"
15,3.0,***,*****,,****,*,***,X,O,O,"Bureaucracy, salary, decision proces too long, not customer focused","Apr 25, 2017 - Anonymous Employee in Brussels",CRM,"Security, expertise, nice working environment, csr values","Current Employee, more than 10 years"
16,4.0,***,**,,***,***,****,X,-,V,"company (and by extension ""industry"") outlook is rather grim","Dec 3, 2016 - Anonymous Employee in Brussels",Interesting place to work,"highly skilled and supportive management
variety in assignments; interesting projects
great team spirit","Current Employee, more than 10 years"
17,3.0,*****,***,,**,***,***,X,-,X,"Difficult to negotiate a better salary due to many layers in management. Even if you perform very well, it's difficult to get a satisfactory reward.","Apr 22, 2016 -  in Brussels",Ok to start,"The work / life balance is ok, the colleagues are nice, mainly young people that start their career so this creates a good atmosphere.",Current Employee
18,4.0,****,****,,**,**,****,-,-,V,"Backoffice, not much interaction with clients. Unpaid internship","Mar 2, 2016 - CIB in Brussels",Intern CIB,"International team, responsibility from early on, challenging tasks","Current Intern, less than 1 year"
19,3.0,*****,*,,**,***,**,X,X,X,"Frustrating corporate culture, everything moving very slowly, it is always difficult to accomplish anything, change is feared. 
Young people leaving the company as not getting recognition or promotions after years in function.","Jul 8, 2015 - Project Manager in Brussels","Good work-life balance, but an awful place for young an ambitious","Flexible working hours, comfortable pay, not too demanding job","Current Employee, more than 5 years"
20,3.0,****,*,,**,***,*,-,V,V,"Salary, atmosphere, lazy people, office environment","Aug 11, 2014 - Account Manager in Brussels",Satisfied,Big company nice car policy,Current Employee
21,4.0,****,**,,****,***,***,V,V,V,"DIfficult to get promotion, top-down approach, bureaucracy","Nov 28, 2013 - Risk Manager in Brussels",International bank,"Good work/life balance, career opportunities, job mobility","Current Employee, more than 5 years"
22,3.0,****,***,,***,****,***,-,V,V,"Complex company with still many changes due to the fusion
Very ""French"" company, autoritary
Very hierarchical and many rules and procedures, little room for real enterpreneurship","Aug 24, 2012 - Permanent Control Manager in Brussels",Complex company,"Large corporation with many opportunities
Good branding
Job security, interesting salary package
Good work/life balance","Current Employee, more than 1 year"
23,3.0,,,,,,,O,-,V,"- bureaucratic
- downsizing
- french chauvinism
- environmental awareness
- this was it","Jan 20, 2012 - Performance Analyst in Brussels","Interesting workplace, lot of learning opportunities","- international
- flexible
- strong
- historical
- motivating",Current Employee
