,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,5.0,,*****,*****,*****,***,****,V,X,V,Busy working hours but compensated by knowledge,"May 6, 2022 - Senior Consultant in Brussels",Deloitte employee,Great company to start of your career,"Current Employee, more than 3 years"
1,4.0,***,*****,****,*****,***,****,V,V,V,Working atmosphere really depends on your team,"Apr 26, 2022 - Great Place to Work and Grow In Your Career in Brussels",Great place to work and grow in your career,Great place to work and grow in your career,"Current Employee, more than 1 year"
2,3.0,****,****,****,****,***,***,V,V,V,not the best place to develop your self as a software engineer,"Apr 25, 2022 - Deloitte Digital in Brussels",software developer,nice working environment in a huge company,"Current Intern, less than 1 year"
3,4.0,***,****,****,****,****,****,V,V,V,Can be a little tough when it comes to work-life balance,"Apr 25, 2022 - Senior Consultant, Strategy in Brussels",Nothing special to mention,"Good company culture, nice facilities","Current Employee, less than 1 year"
4,1.0,*,*****,*****,*****,*,*,X,-,X,No work life balance - Poor management,"Apr 25, 2022 - Senior Accountant in Brussels",No work life balance,Good as a Training firm,"Current Employee, more than 1 year"
5,1.0,*,*,*,*,**,**,-,X,X,Work-life balance is a joke and the culture supports overworking their employees without appropriate compensation,"Apr 13, 2022 - Anonymous Employee in Brussels",Ok,"Good benefits: company car, allowances, meal vouchers",Current Employee
6,4.0,***,*****,*****,*****,****,****,V,V,V,"Workload varies a lot from day to day 
Low starting gross salary
You will almost always do more than 39H/week 
Can be staffed on projects that are not in line with what you were hired for","Mar 22, 2022 - Business Analyst in Brussels","Great opportunity, but workload very dependant on project","Nice package for starter 
Great opportunities 
Homeworking as much a you want","Current Employee, less than 1 year"
7,5.0,*****,*****,*****,*****,*****,*****,O,O,O,not 100% remote but it's good enough because hybrid,"Mar 17, 2022 - Recruteur in Brussels",Good,nice environment to work and smart people,"Current Employee, less than 1 year"
8,4.0,***,*****,****,****,**,****,V,V,V,"high pressure
demanding clients
can have feeling of being a ""slave"" to the clients","Mar 17, 2022 - Manager in Brussels","Interesting jobs - hard work, demanding clients","interesting jobs with high visibility and exposure
work on things that matter
overall good package but salary low compared to responsibilities and requirements","Current Employee, more than 5 years"
9,4.0,**,****,*****,****,***,****,O,V,V,You work like a lab rat with a lame content... and you are underpaid VS industry standards,"Mar 7, 2022 - Management Consulting Senior Consultant in Brussels",Good career starting point,Learning all the best practice and get to organise your work to be efficient,"Current Employee, more than 1 year"
10,1.0,*,*,*,*,*,*,-,-,X,"I was a consultant in Risk Advisory
-No training
-No control over revenue - depends on regulators
-No negotiation power over clients- consolidation in banking sectorand they call the shots
-Ridiculously high turnover among consultants - fired or burnout.

-They fire at will. They warn you once","Mar 1, 2022 - Senior Consultant in Zaventem",Scrambling for crumbs,Shiny office and a company car.,"Former Employee, less than 1 year"
11,4.0,**,***,***,*****,****,***,V,O,V,"too much self-centered, 'we are the best' mindset, high self esteem","Feb 25, 2022 - Manager in Zaventem","Good Company to work for, but definitely high vision of themselves","company car, many opportunities for learning and growing, great mobility, vertical, horizontal or geographic, employees are valued","Current Employee, more than 3 years"
12,4.0,***,****,****,****,****,****,V,X,V,Workload and not really well paid at entry level,"Feb 13, 2022 - Business Analyst in Brussels",Nice learning environment,Keep learning and make growing your professional network,"Current Employee, less than 1 year"
13,5.0,****,*****,*****,****,***,*****,O,O,O,- The initial start salary is rather competitive. That being sad it ramps up quickly,"Jan 26, 2022 - Manager in Brussels",Great company with lots of flexibility,"- Freedom to determine your own career direction
- Working with multinationals and internationally
- Deloitte does serious efforts to treat its people well (flexability, all types of treats,...)
- Salary and bonus ramp up quickly","Current Employee, more than 5 years"
14,5.0,*****,*****,*****,*****,****,*****,V,-,V,"- low salary inreases
- work load goes up with time but salary does not follow equally","Jan 21, 2022 - Senior Consultant in Brussels",Great company,"- good starting package
- many learning opportunities
- a lot of trainings
-","Current Employee, more than 3 years"
15,2.0,*,**,****,*****,*,***,X,-,X,"- The pay is ridiculous compared to all the responsibilities you are getting
- The hours are really bad. Work-Life balance is something that is not existing at Deloitte, even if they claim they do
- As a junior, you are disposable and just a number. This means that they'll probably try to make you work as much as they can and don't really care if you're getting burned out or not.","Jan 19, 2022 - Business Analyst in Brussels",No work-life balance and ridiculous pay. Fast growth in career.,"- Big clients, interesting projects
- You will learn a lot. You will get a lot of experience from all the responsibilities you get
- You'll work with smart and ambitious people
- Fast progression inside the company, but also a lot of door opens to other companies once you have Deloitte on your CV (especially because you'll be a very skilled individual with a strong work ethic)","Current Employee, more than 1 year"
16,4.0,,,,,,,-,-,O,Big four mentality of productivity,"Jan 18, 2022 - Cyber Security Consultant in Zaventem",Nice though tough first experience,Enormous knowledge base and opportunities,"Former Employee, more than 1 year"
17,1.0,*,*,*,*,**,*,O,O,O,Very poor management and very sexist working environment. Would not recommend to young females at the beginning of their career.,"Jan 17, 2022 - Anonymous Employee in Brussels",Deloitte Belgium,Recognized brand name on cv,Former Employee
18,4.0,****,*****,****,****,***,****,V,O,O,"- Imbalance salary vs workload
- Limited foreign opportunities","Jan 13, 2022 - Senior Business Analyst in Brussels",Monitor Deloitte - Strategy & Business Design,"-Interesting &impactful strategic projects 
- Great colleagues
- Work-Life balance","Current Employee, more than 1 year"
19,5.0,,,,,,,O,O,O,Some high pressure might come along,"Dec 21, 2021 - SAP Consultant in Brussels",Great employer,Work hard play hard and get eewarded,"Former Employee, more than 1 year"
20,5.0,,,,,,,O,O,O,long working hours on all proejcts,"Dec 18, 2021 - Manager in Saint Petersburg Beach, FL",d,greqt employer since my start,Current Employee
21,1.0,*,*,*,***,***,*,O,O,X,"They practice racism and indifference with immigrants. Hell lot of politics and favouritism.
They consider their employees as slaves who they can terminate whenever they feel like..","Dec 1, 2021 - Consultant in Zaventem",Practice racism,No pros just a Brand Name,"Former Employee, more than 1 year"
22,3.0,*,*,*****,***,*,*,O,O,V,"Workloand and working hours. Definitely no work/life balance, and you do not get paid for overtime","Dec 1, 2021 - Senior Accountant in Brussels",Training firm,A good training company and autonomy is given.,"Current Employee, more than 1 year"
23,5.0,***,*****,****,*****,***,*****,V,V,V,"- Workload
- Complex hierarchical structure
- Blurred pro/personal boundaries (e.g. too many side events with no obligations to attend them but still.... FOMO)
- Time is the most precious thing on earth: #days of holidays should be increased especially since people are highly flexible and doesn't hesitate to work extra hours","Nov 24, 2021 - Senior Consultant in Brussels",High-quality person,"- High level of experience
- High level of professionalism
- Human people (put in practice)
- Interesting topics/clients/opportunities
- Societal purposes/objectives put in practice
- Passion is everywhere","Current Employee, less than 1 year"
24,2.0,****,**,***,****,*,*,-,V,X,Terrible hierarchy. Too much internal competition. No one cares about you. Another brick in the wall.,"Nov 24, 2021 - Senior US International Tax Consultant in Zaventem","Bad apple, nice package",Access to knowledge and a good brand name,"Former Employee, less than 1 year"
25,5.0,***,*****,*****,*****,****,*****,V,V,V,We have plenty of projects,"Nov 22, 2021 - Manager in Brussels",Continued development in people,Deloitte understands people drive their business,"Current Employee, more than 1 year"
26,3.0,***,*****,****,****,*****,*,O,O,O,"Repetitive tasks, a ridiculous management technique in this day and age. Little constructive feedback despite my status as an intern. I understand much better the turnover rate....","Nov 14, 2021 - Anonymous Intern in Zaventem",Too much pressure and hierarchy of another time,"The place is nice (+ homeworking widely use) and it's certainly a good way to know what suits you and what doesn't for your career
+ the recruitment process is very fair and this is something they can be proud of","Former Intern, less than 1 year"
27,2.0,,,,,,,O,-,O,"Meaningless and repetitive projects, technologically lagging behind its concurrency, micromanagement, intrusive administrative chores","Oct 25, 2021 - Senior Consultant in Zaventem",Deloitte,"Good branding, quick learning curve, young atmosphere","Current Employee, more than 1 year"
28,4.0,****,****,****,****,****,****,V,V,V,hard work but you learn a lot,"Oct 22, 2021 - Senior Consultant in Zaventem",senior consultant,great company with great people,"Current Employee, more than 1 year"
29,5.0,*****,****,****,****,*****,*****,O,O,O,No minus points so far the line,"Oct 19, 2021 - Functioneel Analyst in Brussels",Functioneel Analyst,They tend to give good training,Current Employee
30,4.0,,,,,,,O,O,O,"Projects very operational, even though you're part of the strategy department. Salary low and not much differentiation possible.","Oct 14, 2021 - Senior Consultant in Brussels","Okay employer, salary not great",Overall good employer and nice colleagues,"Current Employee, more than 3 years"
31,5.0,*****,*****,*****,*****,***,*****,V,V,V,salary is not very attractive,"Oct 6, 2021 - Junior Tax Consultant in Zaventem",Great company,"Excellent environment, international atmosphere, very integrative, excellent for career development.",Current Employee
32,1.0,,,,,,,O,O,O,not good for experienced. Money is king.,"Sep 19, 2021 - Project Manager in Brussels",ok to work,good for beginnners to start the carrieer,Former Employee
33,5.0,****,*****,****,*****,*****,****,V,V,V,"Twice year is about training new joiners out of uni, so you better be prepared to coach, delegate and constantly give feedback and transmit knowledge.","Sep 15, 2021 - Senior Manager in Brussels",Entreprise au cour du temps,"Forte valeur sur l'individu , bonnes avantages, environment dynamique et ouverture a un nombre énorme des industries, technologies et façons de faire.","Former Employee, more than 5 years"
34,4.0,****,****,*****,***,***,****,V,V,V,"Big company, not feeling important","Sep 10, 2021 - Senior Analyst in Zaventem",Senior Analyst,"Flexibility, diversity, professional environment, interesting people, highlight on sports",Current Employee
35,3.0,***,****,****,****,****,***,O,O,V,"very big company, can't know everyone","Sep 3, 2021 - Management Assistant in Brussels",Deloitte,"a lot of advantages, bonus, teambuildings and events","Current Employee, more than 1 year"
