,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,4.0,****,****,****,****,***,****,V,O,V,Salaries should be increased overall,"May 3, 2022 - Senior Tax Consultant in Luxembourg",Good place to work,People are nice; good working environment,"Current Employee, more than 3 years"
1,3.0,,,,,,,O,O,O,Work life balance is not great,"May 2, 2022 - Junior Auditor in Luxembourg",EY,"Dynamic work environment, flat hierarchy",Current Employee
2,2.0,*,*,***,*,**,*,-,O,X,work life balance not good,"Apr 26, 2022 - Junior Auditor in Luxembourg",Work life,"Very young athmosphere, many nationalities","Former Employee, less than 1 year"
3,3.0,**,***,*****,****,***,**,X,-,V,"Low salary, productive people get more work.","Apr 17, 2022 - Senior Auditor in Luxembourg",Good for the experience,"Fast learning experience, good coaching of seniors.","Former Employee, more than 1 year"
4,4.0,****,***,**,*****,***,****,O,O,O,Environment is not so nice,"Apr 13, 2022 - Analyst in Luxembourg",Analyst SaT,"Lot of exposure to different departments e.g. TSA, TD and VME","Current Employee, more than 1 year"
5,4.0,*****,*****,*****,*****,***,*****,V,X,V,Very low salary for being Luxembourg,"Apr 10, 2022 - Consultant in Luxembourg",Great learning environment!,"You will learn a lot about what you do, and will meet a lot of people with different backgrounds.","Current Employee, less than 1 year"
6,5.0,****,*****,*****,*****,*****,***,O,O,V,Lots of hours of working during the peak season.,"Apr 1, 2022 - Senior Consultant in Luxembourg",Really good,Good atmosphere and learning curve.,"Current Employee, less than 1 year"
7,4.0,****,****,*****,*****,**,*****,V,X,V,"- quality of experience depends on management (mine was great)
- salaries are on the lower end","Apr 1, 2022 - Business Analyst in Luxembourg",Great learning platform,"- interesting missions
- great team","Former Employee, less than 1 year"
8,3.0,*,***,***,****,**,**,O,O,O,"overtime, inhumain culture, intangible discrimination","Mar 21, 2022 - Senior Consultant in Luxembourg",Overtime,"enrich training and learning resources, big network, brand",Current Employee
9,4.0,***,***,***,***,***,**,O,O,X,"- No canteen
- No remote working (depends on the manager)
- Remuneration too low as an intern to bear the cost of life in Luxembourg","Mar 20, 2022 - Intern in Luxembourg",Nice environment but low salary,"- Good work atmosphere
- Good infrastructure","Current Intern, more than 1 year"
10,4.0,****,*****,*****,****,***,****,V,O,V,lack of training and implication of the people,"Mar 17, 2022 - Administrative Assistant in Luxembourg",great opportunity,"international relationship 
lot to learn 
access to great tool and opportunity","Current Employee, more than 1 year"
11,4.0,**,*****,*****,*****,*****,****,V,O,V,"low salaries, same salary for all peers","Mar 14, 2022 - IT Project Manager in Luxembourg",Great company,"Great spirit, young environment, rewarded based on performance",Current Employee
12,3.0,*,**,****,****,**,***,-,X,X,"bad work life balance
payment far below market average","Mar 9, 2022 - Consultant in Luxembourg",EY Consultant,"company car lease
overtime payment monthly
nice office","Current Employee, more than 1 year"
13,3.0,**,**,**,**,***,**,-,O,X,Not going to recommend. Lack of coaching,"Mar 5, 2022 - Manager in Luxembourg",Toxic environment.,I don't have any best reasons to share,"Former Employee, more than 3 years"
14,4.0,***,***,****,*****,***,***,O,O,O,The workload can be a lot to handle during busy season.,"Feb 11, 2022 - Senior International Tax Consultant in Luxembourg",Opportunities a plenty,"The exposure is quite fantastic at EY, and the flexibility to work cross-teams is extremely valuable.","Current Employee, more than 1 year"
15,4.0,***,,,***,***,,O,O,O,You had better to do your tasks very quickly.,"Feb 11, 2022 - Assistante in Luxembourg",Many people leave in the two years,EY is a brand that other employers probably like.,"Current Employee, more than 1 year"
