,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,3.0,*,***,****,****,****,**,V,V,V,"If you love the job, the team, and your manager - you might choose to stay even if you are in an internal department where there is no career progression. But if the person you are reporting to does not respect you or your work, then it is time to get out.","May 6, 2022 - Senior Manager in Brussels",It's all about who you report to,"Working in such a large organization, you get access to excellent trainings, events, social opportunities, and even interesting and challenging responsibilities.","Former Employee, more than 5 years"
1,4.0,**,*****,*****,****,****,***,-,X,V,Sometimes this environment is too competitive,"Apr 14, 2022 - Junior Auditor/Associate in Brussels",Ok,Good employer with attractive salary for a starter,"Current Employee, less than 1 year"
2,5.0,****,****,,*****,*****,****,V,X,V,Working at PwC BE probably requires you to have solid knowledge in Dutch and english,"Apr 6, 2022 - Project Support Officer in Brussels",Great place to learn,I really enjoyed my internship at PwC BE. The people and the culture is awesome and you get to work a variety of tasks and clients. Would recommend,"Former Intern, less than 1 year"
3,3.0,,,,,,,O,O,O,"Insufficient time to do self learning 
Too much pressure","Apr 6, 2022 - Manager in Brussels",Consulting job,An extended network of expert,"Current Employee, more than 3 years"
4,3.0,****,****,****,***,**,***,O,O,O,Low salary as compared to Deloitte,"Apr 4, 2022 - Senior Associate in Brussels",Good,Care and support for its employees,"Former Employee, more than 3 years"
5,3.0,,,,,,,O,O,O,Poor consideration of employees. Not the best environment,"Mar 22, 2022 - Consulting in Brussels",Salary,Nice place to learn a lot,Current Employee
6,5.0,*****,*****,*****,*****,*****,*****,V,V,V,"Fast-paced environment, can generate stress","Feb 28, 2022 - Junior Consultant in Brussels",Technology consultant,Great working environment and benefits,"Current Employee, less than 1 year"
7,4.0,*****,*****,*****,****,*****,*****,-,X,O,Still developing a more technical career track,"Feb 10, 2022 - Manager, Analytics in Brussels",Good company to work for,"Many benefits,
Fair Salaries,
Great People,
Really try to live by their values","Former Employee, more than 3 years"
8,5.0,****,*****,*****,*****,****,****,V,V,V,"large corporation
repetitive work
long hours but fun atmosphere nontheless","Feb 5, 2022 - Deals Analytics Associate in Brussels",stimulating experience,"Good benefits
Fun team
Great client work","Former Intern, less than 1 year"
9,4.0,*****,***,****,****,***,****,O,O,O,"- limited challenge
- limited care for individual development","Feb 4, 2022 - Consultant in Brussels",Good,- good work life balance,"Current Employee, more than 1 year"
