,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,4.0,***,***,*****,*****,***,****,V,V,V,"For technical topics, teams' experience can be really heterogeneous and often more business-oriented than technical. Exit quick if you want to keep improving on the technical side. A lot of internal politics to drive into. Lowball salaries.","Apr 8, 2022 - Data Scientist in Brussels",Best place to kick-start your career,Accenture is a very good place to kick-start your career as you'll learn the ropes of client-facing and project management. Tons of opportunities around the Globe. Dynamic and young atmosphere.,"Former Employee, more than 3 years"
1,5.0,,,,,,,V,X,V,Sometimes a bit of a number feeling,"Mar 14, 2022 - Strategy Consultant in Brussels",Good company,"Training, people, engagements are well done","Current Employee, more than 1 year"
2,3.0,****,****,*****,***,**,****,O,X,O,"-lack of support
-poor management on projects
-low salary","Feb 10, 2022 - Business Analyst in Brussels",Correct experience,"-dynamic environment
-possibilities to involve in initiatives internally at Accenture
-interesting projects","Current Employee, less than 1 year"
3,3.0,,,,,,,O,O,O,Very strong hierarchy and weak evaluation ssytem,"Feb 7, 2022 - Business Analyst in Brussels",Competitive but very hierarchical,Nice colleagues and competitive environment,"Current Employee, less than 1 year"
4,5.0,***,*****,*****,****,****,*****,V,V,V,Work-life balance can be better,"Jan 26, 2022 - Senior Manager in Brussels",Great People,"Leadership, Great People, Interesting Projects, Growth Opportunities","Former Employee, more than 10 years"
5,2.0,,,,,,,O,O,O,"- little support for employees on the bench
- pressure to find staffing outside of preferences and competence area because of situation in the department","Jan 13, 2022 - Cybersecurity Analyst in Brussels",Unfortunate manner of handling difficult staffing situation,- competitive salary & benefits for the local conditions,"Current Employee, less than 1 year"
6,4.0,,,,,,,O,O,O,"bureaucracy, administration, systems, permissions, size","Jan 10, 2022 - Senior Manager in Brussels",Accenture,"benefices - pension, employee share scheme, bonus
salaire",Current Employee
7,2.0,*****,***,*,****,**,***,O,O,O,"The don’t pay as good as other consulting company’s 
My experience was horrible","Jan 6, 2022 - Marketing Specialist in Brussels",Accenture,It’s one of the best consulting company in the world,"Former Employee, less than 1 year"
8,5.0,****,*****,*****,*****,*****,*****,V,V,V,"Expectations can be high
Internal work not as recognized as client facing","Dec 2, 2021 - Security Senior Analyst in Brussels",Hard work is rewarded,"Great people
Inovative projects
Amazing trainings
Capacity to become what you want","Current Employee, more than 1 year"
9,4.0,,,,,,,O,O,O,Workload can be really heavy,"Nov 25, 2021 - Analyst in Brussels",Good to learn,Great place to learn and gain experience,Current Employee
10,5.0,*****,*****,*****,*****,*****,*****,-,V,V,"To be honest, so far I have nothing to say yet","Nov 15, 2021 - Business Integration Arch Analyst in Brussels",Great first employer,Great first employer and great enterprise culture.,"Current Employee, less than 1 year"
11,4.0,***,****,****,****,**,**,O,O,V,They expect a lot of effort from an intern,"Oct 28, 2021 - Functional Analyst in Brussels",Ok,"Learning, lots of opportunities, different fields",Former Intern
12,4.0,**,*****,*****,****,***,***,V,V,V,"- company decisions made on higher levels
- promotion systemn","Oct 1, 2021 - Analyst in Brussels",Good working place,"- culture
- focus on IT
- innovative
- large international network","Current Employee, more than 1 year"
13,5.0,****,*****,*****,****,***,****,V,V,V,The pay could be better,"Sep 11, 2021 - Senior Analyst in Brussels","Great culture, pay could be better","My team is great, very sociable colleagues and great mentor",Current Employee
14,4.0,****,****,****,****,****,****,O,O,O,there are no cons available,"Jun 11, 2021 - Business Process Delivery Senior Analyst in Brussels",BPS Senior analyst,I like working at Accenture for it's international aspect. You can work with people all around the world to bring the best to your clients.,"Current Employee, more than 3 years"
15,5.0,*****,*****,*****,*****,*****,*****,O,O,O,I did not find any disadvantages,"May 31, 2021 - SAP Integration Consultant in Brussels",SAP Integration Consultant,"Great work environment, compensation, learning",Current Employee
16,4.0,***,****,*****,*****,***,**,V,V,V,Not enough engagements to do something you truly are interested in,"May 10, 2021 - Consultant in Brussels",Great career start,"Great people, getting exposed to different security domains","Current Employee, more than 3 years"
