,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,4.0,**,**,**,*****,****,***,V,V,V,"- a lot of work 
- no autonomy","May 5, 2022 - Talent Acquisition Trainee in Luxembourg",A good experience,"- learned a lot
- diversified environment","Former Employee, less than 1 year"
1,5.0,*****,*****,*****,*****,****,***,O,O,O,I did not find cons,"Apr 30, 2022 - Fund Officer in Luxembourg",Top workplace in the industry,"Fast track, high turnover and opportunity to growth","Current Employee, less than 1 year"
2,4.0,*****,****,*****,****,***,****,O,O,O,"- Salary could be higher
- Certain employees are not fully committed to their tasks","Feb 28, 2022 - Administrative Assistant in Luxembourg",Not bad,Ambitions and young international staff,Current Employee
3,4.0,*,**,***,***,***,**,V,V,V,"lack of resources while keep of growing, work life balance","Feb 6, 2022 - Fund Manager in Luxembourg",best environment to gain experience,exposure in many categories which lead to broad experience,Current Employee
4,4.0,*****,*****,*****,*****,****,*****,V,O,V,Salary could be improved and more teams meetings,"Jan 27, 2022 - Funds Officer in Luxembourg",Great place to Work and learn,"Team Spirit, Learning, good leaders","Current Employee, more than 1 year"
5,5.0,,,,,,,V,V,V,"Stress and over time required 
Redundant work at a time","Jan 19, 2022 - AML/KYC Officer in Luxembourg",Nice team but stressing workload,"Good way to Learn aml kyc 

It is a great introduction to regulatory. 

They enroll people with little or no experience and train them very well 

Give chance and opportunities of promotion. 

International team as well as French speaking team","Former Employee, more than 1 year"
6,4.0,****,*****,*****,****,****,**,V,V,V,Senior management is changing too frequently.,"Jan 12, 2022 - Senior Officer Grade A in Luxembourg",Great company to build your career,A company that truly cares for its employees. Many opportunities for growth.,"Current Employee, more than 1 year"
7,3.0,*,***,**,***,*,*,X,O,X,"- salary
- upper management communication
- workload
- communication between different departments
- IT support","Dec 15, 2021 - Senior Officer in Luxembourg",Good for gaining industry knowledge,"- relevant industry experience
- interesting people
- benefits","Current Employee, more than 1 year"
8,4.0,,,,,,,O,O,O,Growing pains especially due to acquisitions,"Nov 5, 2021 - Finance in Luxembourg",Fast growing company,"Fast growing, Market leading company",Current Employee
9,2.0,***,**,***,****,***,**,-,-,X,"* administrative work 
* Not so interesting 
* Little extra advantage","Sep 29, 2021 - Fund Officer in Luxembourg",A lot of administrative work,"* weekly hours +- 50h 
* International workforce",Current Employee
10,4.0,****,****,*****,****,****,****,V,V,V,"Some people don't know what they're doing, which makes you work double.","Sep 7, 2021 - Fund Officer in Luxembourg",Good place to work,"Competitive salary, modern atmosphere, great location, great people","Current Employee, less than 1 year"
11,4.0,***,***,***,**,****,**,V,V,X,"salary if lower then medium on the market, high turnover rate","Sep 2, 2021 - Professional Assistant in Luxembourg",Ok,"good benefits, international enviroment, not bad working enviroment","Current Employee, less than 1 year"
12,4.0,,,,,,,O,O,O,"I haven't found anything specific yet, but if I had to say something I would say the working hours.","Aug 12, 2021 - Anonymous Intern in Luxembourg",Working Experience,"They are friendly and guide you in every step of the way, so you can achieve the best outcome.",Current Intern
13,1.0,*,*,*,*,*,*,X,X,X,Bad managers and heavy workload. It is better to think twice if you really want to join AD.,"Aug 6, 2021 - Senior Associate in Luxembourg",Bad Environment,Good location and flexible time,"Former Employee, more than 1 year"
