,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,3.0,*,**,**,***,**,**,X,X,X,"- poor training in the insurance department
- poor planning from partner and managers
- no collaboration to assist new employees
- poor culture for people from a different background","May 3, 2022 - Audit senior 2 in Luxembourg",Audit senior 2,"- Good clients
- At leas there is training","Current Employee, more than 1 year"
1,2.0,**,**,****,*****,****,***,V,O,X,"- Overwork
- Important pressure on employees","Apr 25, 2022 - Anonymous Employee in Luxembourg",Overwork for no reason,"- Good professional tools (Laptops, desk, Online portal, resources for presentations)",Former Employee
2,4.0,***,****,*****,*****,****,****,O,O,O,Peak period can be terrible with lof of workload,"Apr 22, 2022 - Senior Auditor in Luxembourg",Huge workload but good opportunity to learn,"Opportunity to learn, lot of responsibilities","Former Employee, more than 3 years"
3,4.0,****,***,****,****,****,****,O,O,V,Work-life balance is not good at times,"Apr 12, 2022 - Risk Analyst in Luxembourg",Good career start,"Good colleagues and environment, all depending on a team that one gets",Former Employee
4,5.0,****,*****,*****,*****,****,*****,V,V,V,a lot of employee rotation - you will constantly take over engagements you know nothing about,"Apr 11, 2022 - Audit Junior in Luxembourg",Like every big4 but work life balance is better in Lux than in any other country,"lot of flexibility (WFH)
really nice offices
overtime is paid if necessary","Current Employee, more than 1 year"
5,4.0,,,,,,,O,O,O,smart working effective for half of the period,"Apr 9, 2022 - Audit Trainee in Luxembourg",Engaging,exposure to many different clients from the financial industry,Current Employee
6,5.0,***,****,*****,*****,**,*****,V,X,V,Compensation package is not the best for Luxembourgish standards,"Apr 6, 2022 - Analyst in Luxembourg",Good company to work for,"Company culture, high progression internally, great learning opportunities","Current Employee, less than 1 year"
7,3.0,*,***,****,***,**,***,O,O,O,"Bad work life balance, difficulty to change mission if the ones you are in is not fulfilling","Mar 23, 2022 - Data Analyst in Luxembourg",Good for beginner but not for long term career,"Possibility of many missions, certifications, improvements of your skills",Current Employee
8,4.0,,,,,,,O,O,O,Difficult to emerge as lots of competition,"Mar 16, 2022 - Fund Manager in Luxembourg",Manager in charge of projects in the Investment Fund industry,Great school for improving consulting skills. Exposure to lots of projects and clients.,Current Employee
9,4.0,**,****,*****,*****,***,****,O,O,V,"- Life work balance.
- Lack of control of all projects due to high rotation.","Mar 15, 2022 - Senior Auditor in Luxembourg",Good school,"- Learning path.
- Young and friendly staff.","Current Employee, more than 1 year"
