,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,5.0,*****,*****,*****,*****,****,*****,X,X,V,"Highly hierarchical, lot of Pressure","Mar 9, 2022 - Junior Auditor in Diegem",Nice,"Company Car, Young staff, Plenty of clients","Current Employee, less than 1 year"
1,4.0,*****,*****,*****,****,****,*****,V,O,V,Clients are more finance and insurance oriented may because that the core of the business,"Feb 15, 2022 - Technology Manager in Brussels",Good workspace,Flexible work time and staff benefit,"Current Employee, less than 1 year"
2,4.0,***,*****,*****,*****,***,*****,V,O,V,I think salary should be higher,"Feb 2, 2022 - Senior Financial Auditor in Brussels",N/A,"Team, environment, ability to grow",Current Employee
3,5.0,*****,*****,*****,***,****,****,O,O,V,- Not enough contact with senior manager,"Jan 18, 2022 - Anonymous Intern in Antwerp",Internship Innovation Consultant,"- Trainings
- Autonomy
- Interesting projects","Former Intern, less than 1 year"
4,4.0,,,,,,,O,O,O,"No comment, neutral and final.","Dec 1, 2021 - Junior Lawyer in Diegem",Good firm,"EY Network and organization is very useful.
Entrepreneurial.
Stimulating environment.",Current Employee
5,4.0,,,,,,,O,O,O,"- Projects quite long - with 1,5 years on same client and at the end the only person there, it gets quite difficult in terms of learning trajectory","Nov 29, 2021 - Senior Consultant in Brussels",EY was a good company to work for - with a great culture but projects tended to be quite long,"- Great work culture
- Lots of opportunities","Current Employee, more than 1 year"
6,1.0,***,***,***,***,***,***,O,O,O,"busy hours
poor management
life/work balance
hgg$
hffkj jgdk","Nov 9, 2021 - Financial Auditor in Brussels",Not the best department to work in,"wage
company car 
team
internal perks
nice office",Former Employee
7,2.0,****,****,***,***,*,***,-,-,X,"-no salary, only small compensation","Nov 7, 2021 - Intern in Brussels",Audit intern,"-good corporate culture
-get to work for different clients","Former Intern, less than 1 year"
8,4.0,,,,,,,O,O,O,"* some partners can be very strict
* work pressure","Nov 5, 2021 - Senior Financial Auditor in Antwerp",Good company to start career,"* wages OK
* colleagues are nice
* infrastructure is great
* learning experience",Current Employee
9,4.0,*****,****,***,***,***,***,-,-,V,"Inter-departmental collaboration is difficult, formal training opportunities are somewhat limited, fewer growth opportunities than promised.","Oct 3, 2021 - Senior Consultant III in Ghent",A solid company for a first work experience,"Training on the job, activities outside of work, team spirit. Attention for work-life balance.","Former Employee, more than 3 years"
10,3.0,*****,*****,*****,****,**,***,X,V,X,"A lot of average people, the drive is missing a bit, everything goes way to slow - keyword partnership","Sep 21, 2021 - Junior Consultant in Brussels",3,"Good environment, chill working hours, not crazy pressure","Current Employee, more than 3 years"
11,4.0,****,****,****,****,****,****,V,O,V,- Flexibility needed when it comes to working hours.,"Aug 16, 2021 - Business Consultant in Brussels",Diversified job role,"- Lots of learning opportunities.
- Chance to work with international teams.
- Strong Client brands.","Current Employee, more than 1 year"
12,3.0,**,**,****,****,***,***,O,O,O,"Ruthless competition and counterproductive rivalry 
Toxic culture and unnecessarily long hours
Pressure to bill less hours while being evaluated and your billed hours rate","Aug 12, 2021 - Manager in Diegem",Needs a cost/benefit analysis every now and then to see if it's worth it,"Valuable experience that looks good on a CV
Opportunities for a speedy career progression
Some good mentors and great projects","Former Employee, more than 3 years"
13,2.0,**,****,*,***,***,*,V,O,V,"- Inappropriate behaviours from management (sexism, phony jokes about females, intimidation)
- A lot of bad behaviours are going under the radar 
- Promotions conditions are not clear","Aug 5, 2021 - Tax Consultant in Brussels",Disrespect from the management,"- Technology way better than its competitors
- Usal benefits in kind and good car policy",Former Employee
14,3.0,****,****,****,***,***,**,-,O,V,"Lacking leadership vision. Belgian Consulting practice poorly integrated to EMEIA / Global level. Misleading practices in salary & benefits. Destructive Politics, leading to many lost opportunities and profits.","Jul 31, 2021 - Manager in Diegem",Manager Consulting,Good infrastructure & Central Support. Friendly culture with lots of young people. Lots of autonomy. Work-Life balance OK for most people.,"Former Employee, more than 3 years"
15,3.0,***,***,*,*****,****,*,O,-,V,"Team
Long hours
Loneliness
French speaker vs Flemish","Jul 27, 2021 - Consultante in Brussels",Belle expérience,"Package
Learning opportunites
Great back office
Opportunties
Diversity of the missions","Current Employee, more than 1 year"
16,5.0,***,*****,****,*****,****,*****,V,V,V,"Stress
Salary hyper optimised ( great net but low bruto)","Jul 3, 2021 - Senior Consultant in Diegem",Great team,"Quality of People 
Quality of project","Current Employee, more than 1 year"
17,4.0,****,****,****,****,**,***,V,V,V,"Language support, Learning & trainings, policy clarities, compensation.","Jun 28, 2021 - Senior Manager in Brussels",ey,"work culture, inclusiveness, growth path.","Current Employee, more than 5 years"
18,4.0,**,***,***,*****,***,****,V,O,V,"Work life, hierarchical, salary, long hours","Jun 20, 2021 - Senior Consultant in Brussels",Senior,"Car, phone, mobile phone subscription, laptop. Fuel","Current Employee, more than 1 year"
