,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,5.0,****,****,***,****,****,*****,V,V,V,In my three months intership i didn't find any cons.,"May 7, 2022 - Anonymous Intern in Leuven",3 months internship,they give a good amount of extra education to their employees.,"Former Intern, less than 1 year"
1,4.0,****,****,****,***,****,****,V,V,V,"- management
- bank sector (currently under pressure)","Feb 14, 2022 - Relationship Manager in Brussels",Relationship Manager SME,"- company car
- healthy company","Former Employee, more than 1 year"
2,5.0,*****,*****,*****,*****,*****,*****,O,O,O,Not well known in Europe,"Feb 9, 2022 - Operations Manager in Leuven",KBC,"Fair and respected, great atmosphere",Current Employee
3,5.0,,,,,,,O,O,O,It is a bank and insurance company,"Oct 28, 2021 - Insurance Agent in Neerpelt",Good company,Great place to work with lots of carreer opportunities,Current Employee
4,2.0,***,**,*,**,****,*,-,X,X,"Continuous cuts of budgets and personnel
Lack of diversity
Top-down decision making","Oct 2, 2021 - Risk Manager in Brussels",Ok but not for the long term,Good salary and pension fund contribution,"Former Employee, more than 1 year"
5,5.0,***,****,****,*****,****,****,V,V,V,"Brussels based, difficult to work outside business hours","Sep 27, 2021 - Manager - Risk Management in Brussels",Risk manager,"Nice team, good international cooperation","Current Employee, more than 8 years"
6,5.0,,,,,,,O,O,O,"small YOY increase
some potions are very far","Sep 1, 2021 - Consultant in Brussels",Good,"Good pay
good hours
good extra benefits",Current Employee
7,4.0,****,****,*****,***,****,*****,V,V,V,A bit too rigid environment of a traditional bank,"Aug 23, 2021 - Senior Data Scientist in Brussels",Starting,"Young diverse team, starting up something new, good management","Former Employee, more than 1 year"
8,1.0,,,,,,,O,O,O,This company is trying to hire plenty of young people but aren't willing to accept the requirements that come with them a lot of people don't like there job or have no know how on the actual subject matter. You are not encouraged to grow cause people are afraid that either you leave or will take over there position. I have been called multiple things and shamed in different ways.,"Aug 11, 2021 - Applications Manager in Leuven",Company that likes to use big words with little action,good if you want just a steady income,Current Employee
9,5.0,,,,,,,O,O,O,"Did not work here for a long time, so it is hard to come up with any negative experience.","Aug 1, 2021 - Actuary in Brussels",Extremely positive work experience,"Both the open-minded culture and the can-do mentality which were dominant at KBC, create an empowering work environment.",Current Intern
