,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,5.0,***,***,*****,****,**,*****,V,V,X,Long hours not lovin it eh,"May 6, 2022 - Head Chef in Brussels",Not sure,I sell the left-overs outside nightclubs,"Former Employee, more than 1 year"
1,4.0,***,****,***,****,***,****,O,O,O,"- work life balance 
- job content","Apr 18, 2022 - Senior Auditor in Brussels",Great people and atmosphere,"- people and atmosphere
- diversity of clients",Current Employee
2,5.0,****,****,***,***,****,***,V,V,V,"Bureaucracy, internal control, smaller clients","Mar 19, 2022 - Senior Manager Advisory in Brussels",KPMG,"Great colleagues, learning possibilities, focus on people",Current Employee
3,4.0,****,*****,****,*****,*****,****,V,X,V,Strong limitations on freedom to invest in stocks due to audit function and need for independence in activities and appearance.,"Feb 8, 2022 - Chef De Secteurs in Brussels",Working at KPMG leading a deparment,"Good salary and benefits. Caring, human and compassionate organisation. Lot’s of learning and research opportunities.","Current Employee, more than 5 years"
4,4.0,****,****,****,****,****,****,O,O,O,Can be stressful at times,"Nov 23, 2021 - Audit in Antwerp",Audit,"Work life balance, Benefits, Fun, career opportunities, coaching","Current Employee, less than 1 year"
5,3.0,*,**,****,*****,***,***,O,-,O,"work-life balance, salary is not in line with hours worked","Oct 27, 2021 - Auditor in Brussels",OK,"Young people, afterwork activities, teamwork","Former Employee, more than 3 years"
6,5.0,***,****,****,*****,****,****,V,V,V,vacation policy prioritizes clients; WLB could be better,"Oct 20, 2021 - Supervisor in Brussels",Supervisor Audit,great place to work; strong career growth,"Current Employee, more than 3 years"
7,4.0,****,****,**,****,****,****,-,O,V,"they hire mostly Belgians, not international personel.","Oct 5, 2021 - Administration in Zaventem",life - work balance,"salary, development, work-life balance, perspectives, benefits",Current Employee
8,5.0,***,*****,*****,****,****,****,O,O,O,Could be redudant because it is mainly about creating documents where you explain why an account is accurate and what you did to verify it.,"Oct 4, 2021 - Audit Intern/Auditor Level I in Zaventem",Very nice atmosphere,You learn very fast and it gives good insight of many clients business model.,"Current Intern, less than 1 year"
9,4.0,*,****,***,****,***,***,V,O,V,"High work pressure, late hours","Sep 23, 2021 - Senior Advisor in Brussels",Salary,"Great colleagues, nice projects, great social events","Current Employee, more than 5 years"
10,4.0,****,****,****,*****,****,****,V,-,V,Working hours range depending on project and deadlines,"Sep 16, 2021 - Consultant in Antwerp",Great to start career,"Good culture, many learning opportunities","Former Employee, less than 1 year"
11,3.0,****,***,****,***,****,****,V,O,X,"- inpersonal feeling
- working atmosphere","May 31, 2021 - Anonymous Intern in Brussels",M&A intern,"- expertise
- location
- learning opportunities","Former Intern, less than 1 year"
