,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,5.0,,,,,,,O,O,O,None very good company overall,"May 6, 2022 - Analyst in Luxembourg",Very nice company and great exp,Very nice atmosphere among the employees,"Current Employee, less than 1 year"
1,3.0,,,,,,,O,O,O,"High pressure, long hours, hard to integrate in some teams","Mar 27, 2022 - Adviser in Luxembourg",Adviser,"Office location , events, friendly relationship with higher level employees, international environment",Current Employee
2,4.0,,,,,,,O,O,O,"Late working hours
work life balance","Mar 17, 2022 - Assistant Manager in Luxembourg",Salary Review,"Excellent place to work
great people",Current Employee
3,3.0,*,*****,*****,*****,***,*****,V,V,V,Work life balance very bad,"Mar 12, 2022 - Audit Associate in Luxembourg",Audit Associate 1,Opportunities post audit are very interesting,"Current Employee, less than 1 year"
4,3.0,,,,,,,O,O,O,"Competitive culture no one will help you.
Bad money compare to other companies","Mar 7, 2022 - Audit in Luxembourg",Audit PE,Growth opportunities if you are capable of deal with stupid people,Former Employee
5,4.0,*,****,*****,*****,****,***,V,O,O,work life balance non existent,"Mar 4, 2022 - Audit in Luxembourg",Overall great experience,"learning curve is great, international environment, great sharing services organization, people are young and very motivated, promotion curve is very stable","Former Employee, more than 3 years"
6,4.0,,,,,,,O,O,O,Workload is very very high,"Feb 22, 2022 - Senior Advisor in Luxembourg",Good,-good environment in all the areas,"Current Employee, more than 1 year"
7,5.0,***,***,***,***,***,***,O,O,O,Lot of work after hours,"Feb 21, 2022 - Manager in Luxembourg",Good job,Pretty girls from the whole world,Current Employee
8,3.0,*,***,****,***,**,*,-,X,X,"- parking is a hustle
- career has more to do with network than meritocracy.
- salaries are a joke until you reach management position. There the salary falls in line with the market and that means your overtime is not payed anymore (not like it was paid before)","Feb 8, 2022 - Anonymous Employee in Luxembourg",could be a nice place to start,"- nice canteen at -1 with freshly cooked food
- gym
- multicultural environment","Former Employee, more than 1 year"
9,4.0,****,***,*****,*****,**,****,V,V,X,"- salary is low in comparison to luxembourg average
- job perspective in the future regarding work load doesn’t seem bright","Feb 3, 2022 - Audit Associate in Luxembourg",Great experience,"- international environment
- good onboarding
- nice team events
- facilities","Current Employee, less than 1 year"
10,5.0,**,****,*****,*****,***,*****,-,O,V,"Hours, pressure, dynamics, career, quantity of work","Jan 21, 2022 - Senior Lawyer in Luxembourg",Good,"Workplace, colleagues, salary, location, company",Current Employee
11,3.0,*,*,*,***,***,*,X,X,X,"Workload is too high for the salary
Junior/senior employees are seen only as resources 
Long working hours","Dec 6, 2021 - Business Officer in Luxembourg",Good for a start,Recognition for being employed at a big4,"Current Employee, more than 1 year"
