,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,3.0,*****,***,*****,**,***,***,-,X,X,"The office is in Louvain-la-Neuve.
Not flexible working hours. 
Communication needs improvement.
There are decisions taken without really thinking in how the employees will get affected or seems they don't care. 
Base salaries are low compare to the industry. 
Due to the very flat hierarchy the possibility to grow is very limited.","Feb 20, 2022 - Sales in Louvain-la-Neuve",Odoo: Great place to work for people with none or little working experience,"Mostly young people and fun. 
Working in a unicorn. 
Possibility to configure your salary package. 
Chef that cooks lunch at the office. 
Good networking: You get to know different businesses/companies in the market you are working for. 
Amazing product. 
Great work-life balance (no overtime).","Former Employee, more than 1 year"
1,4.0,,,,,,,O,O,O,The office moved to LLN,"Dec 18, 2021 - Account Executive in Brussels",Account Executive,Great prpfessional development opportunities for anyone,Current Employee
2,4.0,****,***,**,*****,***,*,O,X,V,Cons of any Low cost company,"Dec 17, 2021 - Business Analyst in Brussels",Ok company for young people,Many young people in the company,Current Employee
3,4.0,,,,,,,O,O,O,Growing too quickly and internal unalignment,"Nov 19, 2021 - Account Manager in Ottignies-Louvain-la-Neuve",Good company,Uncapped commissions and a very strong growth,Current Employee
4,5.0,*****,*****,*****,****,****,*****,V,V,V,"not enough kicker table
no sleeping room","Sep 6, 2021 - Business Analyst in Ottignies-Louvain-la-Neuve",Best IT company in Belgium,"company culture, great product, job diversity, people",Current Employee
5,5.0,*****,*****,*****,***,*****,*****,V,V,V,- Lack of communication sometimes but nothing too bad,"Aug 26, 2021 - Software Developer in Grand-Rosière-Hottomont",Odoo software developer,"- Good salary package
- Autonomy
- Great colleagues
- Great respect of life/work balance","Former Employee, more than 3 years"
6,5.0,***,****,*****,*****,***,****,V,V,V,"not well organised, lower salaries than competition","Aug 25, 2021 - Sales Account Executive in Brussels",Sales Account Executive,"learn a lot, young team","Former Employee, more than 3 years"
7,4.0,****,*****,*****,***,****,****,V,V,V,"Because the development process is quite informal, there are times in which a lot of development time is wasted because of miscommunications","Aug 5, 2021 - Software Developer in Brussels",Good company,"Good culture, great people, interesting work, informal process, you can talk face-to-face with the CTO and talk to him as if he were just another colleague.","Current Employee, more than 5 years"
8,5.0,*****,*****,*****,*****,****,*****,V,V,V,So far I do not see any. Very happy with the team and the company,"Jun 23, 2021 - Account Manager in Ottignies-Louvain-la-Neuve",Great place to work,"Commissions per quarter, car, representation fees, authors right,","Current Employee, less than 1 year"
9,5.0,*****,*****,*****,***,**,***,O,V,V,"Micro management, salaries are slightly under standards","Jun 14, 2021 - Manager in Brussels",Nice company to grow,"Great atmosphere, nice people, nice office","Former Employee, more than 5 years"
10,4.0,*****,*****,*****,**,***,*****,V,V,V,- big logo on the company car which makes it look like a technician's car,"Apr 13, 2021 - Account Manager in Brussels",Interesting position,"- lot of responsibility 
- achievable targets",Current Employee
11,1.0,,,,,,,O,O,O,not professional. still need time to grow up,"Feb 17, 2021 - Software Developer in Brussels",1 year approach,new company and you can grow in it,Former Employee
12,1.0,*,*,*,*,*,*,-,X,X,"They tell to employees that they are flexible, but smart working is not allowed and offices are in the middle of nowhere obliging employees to spend a lot of time in commuting and to compromise on the work life balance. They say that there is no hierarchy and that we can make the difference but at the end nothing can be done without the approval of really few employees inside the company. They do not train you, as a consultant you have to learn by yourself and you will find really hard time in having to teach a software you know from few weeks to customers paying hundreds of euros per hour. Salaries are really low compared to the other tech companies and inner mobility in the company for foreign employees is just a fairy tale: “if you are not a Belgian employee you will not have real career opportunities, or at least Belgian employees always come first”. Concluding, there is not a middle management and real career opportunities. After becoming a team leader the career path as a project manager comes to an end.","Feb 3, 2021 - Project Manager in Ramillies",They tell a lot of things but they are not able to meet employees expectations,"You can make a good network. Improve your skills via learning by doing, and travel.","Former Employee, more than 1 year"
