,main_rating,Work/Life Balance,Culture & Values,Diversity & Inclusion,Career Opportunities,Compensation and Benefits,Senior Management,Business Outlook,CEO Approval,Recommend,cons,date_and_job,post_title,pros,status
0,2.0,*,*,*,***,*,*,O,O,X,"Company pretend to be inclusive but its not 
(Please be more like the offices in the UK) 
Really greedy partnership( will not give you any salary increases) 
Work load to high","May 9, 2022 - Audit Associate in Luxembourg",Average,"Young people 
Fast paced
A lot of different nationalities","Current Employee, more than 1 year"
1,4.0,***,****,****,***,****,****,O,O,O,Compensation package can be improved,"May 5, 2022 - Experienced Audit Associate in Luxembourg",Great to start career,"Good benefits
Good work life balance",Current Employee
2,4.0,,,,,,,O,O,O,Long hours and repetitive tasks,"Apr 20, 2022 - Senior Auditor in Luxembourg",Good Company to start its carrier,You will receive good training and coaching,Current Employee
3,2.0,*,****,*****,***,****,*,O,O,O,Long working hours. Project related working hours could extend 40h contract and work on weekends. Paid parking for employees. Meal Vouchers with little amounts. Team leaders don't perform their management & guidance function. Managers are inexperienced or placed into wrong teams.,"Mar 21, 2022 - Trainee Advisory Financial Services in Luxembourg",Advisory department PwC Luxembourg Review,"Acceptable entry level salaries. 
Career opportunities. 
Company events.","Former Intern, less than 1 year"
4,5.0,,,,,,,O,O,O,Workload can be excessive depending the area of work,"Mar 18, 2022 - Tax Director in Luxembourg",Best big4 in my personal experience,Care for people and do their best,Current Employee
5,2.0,*,**,****,***,*,*,X,-,X,no one cares about you,"Mar 15, 2022 - Audit Associate in Luxembourg",Poor company's culture,You'll meet many people and learn a lot,Current Employee
6,5.0,,,,,,,O,O,O,Very High rate of turnover,"Mar 10, 2022 - Internship in Luxembourg",Audit intern,Highly formative and very welcome,"Current Employee, less than 1 year"
7,3.0,***,***,*,***,**,***,-,X,X,"-Terrible working hours resulting in burn out
-Younger staffing means less emotional intelligence and constant coaching 
- non EU nationals and people of colour are not equally valued","Feb 25, 2022 - Compliance in Luxembourg",Manager,"-Young people, so fun and friendly environment 
- Handout of free stuff eg. soirées, pub nights, happy hour, Xmas gifts (to compensate for the very depressed salaries)
- Staff delegation teams who handle weekly calls to open lines of communication with the CEO
-Good brand name on a resume or to springboard a career","Former Employee, more than 3 years"
8,4.0,*,**,*****,*****,**,****,V,X,O,- Salary is quite low for Luxembourg,"Feb 18, 2022 - Senior Associate in Luxembourg",Fast Evolution,"- learning curve is good
- various projects","Current Employee, more than 1 year"
9,3.0,,,,,,,O,O,O,"stress, work-life balance, very political structure","Feb 16, 2022 - Junior Advisor in Luxembourg",/,"dynamism, lot of projects, diversity",Current Employee
10,4.0,,,,,,,O,O,O,less competitive salary; sometimes can be stressful,"Feb 15, 2022 - Tax Consultant in Luxembourg",Great company to start your career,1. good working environment. 2. enough training opportunity 3. good work-life balance 4. clear career path,"Current Employee, more than 1 year"
11,4.0,****,****,****,****,****,****,V,O,V,none none none none none,"Feb 10, 2022 - Intern in Luxembourg",good,good good good good goood,"Current Employee, less than 1 year"
12,4.0,,,,,,,O,O,O,Overloaded during the busy season,"Feb 6, 2022 - Audit Senior III in Luxembourg",Great Company to work and enhance the knowledge,Pretty big client and international working experience,Current Employee
13,3.0,****,***,**,***,***,***,V,-,V,Big 4 is big 4 and you're still just a number.,"Feb 2, 2022 - Tax Manager in Luxembourg",Big4 but more decent compared to others,"When compared to competitor firms, there are more focus and efforts done on mental health and work-life balance. Less focus on formal appearance.",Current Employee
14,5.0,****,****,*****,****,****,****,V,V,V,"Working hours, handling multiple tasks with tight deadlines","Jan 8, 2022 - Trainee in Luxembourg",Great experience,Nice international environment at PwC Luxembourg. Great trainee community and exposure to critical projects from day 1.,"Former Employee, less than 1 year"
15,3.0,***,**,*****,*****,***,***,O,O,V,"-Seniors often lag of technical knowledge, therfore cant explain
-sometimes work process inefficient","Jan 4, 2022 - Audit Associate in Luxembourg",Good start to work,"-International Team
-Interesting work 
-Salary quite good, as taxes are low",Current Employee
16,4.0,**,***,*****,*****,**,****,-,O,X,your paycheck is not huge,"Dec 11, 2021 - Senior Auditor in Luxembourg",auditor lifestyle wesh mabrouk,you learn a lot and can snowball out of it in your career,Current Employee
17,2.0,*,***,*****,*****,**,*,X,V,X,"Low salary, no work life balance, too much overtime","Dec 11, 2021 - Auditor in Luxembourg",Later,"Diverse environment, multinational entity and sustainable work fundamentals across the world.",Current Employee
